Position,Team,Played,Wins,Draws,Losses,Points,Goals_Per_Game,Win_Percentage
1,Barcelona,38,26,9,3,87,2.368421,68.42105
2,Atletico Madrid,38,22,10,6,76,1.4473684,57.894737
3,Real Madrid,38,21,5,12,68,1.6578947,55.263157
4,Valencia,38,15,16,7,61,1.3421053,39.473686
5,Getafe,38,15,14,9,59,1.2631578,39.473686
6,Sevilla,38,17,8,13,59,1.6315789,44.736843
7,Espanyol,38,14,11,13,53,1.2631578,36.842106
8,Athletic Club,38,13,14,11,53,1.0789474,34.210526
9,Real Sociedad,38,13,11,14,50,1.1842105,34.210526
10,Real Betis,38,14,8,16,50,1.1578947,36.842106
11,Deportivo Alaves,38,13,11,14,50,1.0263158,34.210526
12,Eibar,38,11,14,13,47,1.2105263,28.947369
13,Leganes,38,11,12,15,45,0.9736842,28.947369
14,Villarreal,38,10,14,14,44,1.2894737,26.31579
15,Levante,38,11,11,16,44,1.5526316,28.947369
16,Real Valladolid,38,10,11,17,41,0.84210527,26.31579
17,Celta Vigo,38,10,11,17,41,1.3947369,26.31579
18,Girona,38,9,10,19,37,0.9736842,23.684212
19,Huesca,38,7,12,19,33,1.1315789,18.421053
20,Rayo Vallecano,38,8,8,22,32,1.0789474,21.052631
